Food Item,Data Source,Portion,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),Dietary Fibre (g),Sugars (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
"Snacks, beef jerky, chopped and formed",A,100g,407,33.2,11.04,25.6,1.8,9,10.85,,48,2213
"Snacks, banana chips",A,100g,519,2.3,58.4,33.6,7.7,35.34,28.97,,0,6
"Snacks, pita chips, salted",A,100g,457,11.79,68.26,15.2,3.8,4.76,1.342,0.038,0,854
"Snacks, corn cakes, very low sodium",A,100g,387,8.1,83.4,2.4,,,0.42,,0,28
"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",A,100g,458,7.5,70.9,16.7,,,7.68,,0,569
"Snacks, tortilla chips, low fat, unsalted",A,100g,416,11,80.1,5.7,5.3,0.85,0.85,,0,15
"Snacks, corn cakes",A,100g,387,8.1,83.4,2.4,1.9,23.47,0.42,,0,488
"Snacks, granola bars, hard, peanut",A,100g,479,11,63.7,21.4,4.3,33.96,2.52,,0,278
"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",A,100g,509,10.2,53.4,31.1,2.8,,17.01,,12,193
"Snacks, cornnuts, barbecue-flavor",A,100g,436,9,71.7,14.3,8.4,,2.58,,0,976
"Snacks, taro chips",A,100g,498,2.3,68.1,24.9,7.2,3.82,6.43,,0,342
"Snacks, tortilla chips, taco-flavor",A,100g,480,7.9,63.1,24.2,5.3,,4.64,,5,787
"Snacks, granola bites, mixed flavors",A,100g,451,7.17,66.27,17.5,5.7,30,9.888,0,0,33
"Snacks, pretzels, hard, plain, salted",A,100g,380,10.34,79.76,2.63,3,2.76,0.501,0,0,1357
"Potato chips, without salt, reduced fat",A,100g,487,7.1,67.8,20.8,6.1,0.22,4.16,,0,8
"Snacks, sesame sticks, wheat-based, salted",A,100g,541,10.9,46.5,36.7,2.8,0.19,6.48,,0,1488
"Snacks, granola bars, hard, chocolate chip",A,100g,438,7.3,72.1,16.3,4.4,,11.41,,0,344
"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",A,100g,466,5.8,63.8,24.9,3.4,,14.22,,5,200
"Snacks, potato chips, fat free, salted",A,100g,379,9.64,83.76,0.6,7.5,3.69,0.15,,0,643
"Snacks, trail mix, tropical",A,100g,407,6.3,65.6,17.1,,,8.48,,0,10
"Snacks, granola bar, chewy, reduced sugar, all flavors",A,100g,412,5.55,69.4,12.5,3.1,20.8,5.008,2.187,0,45
"Snacks, potato chips, sour-cream-and-onion-flavor",A,100g,531,8.1,51.5,33.9,5.2,,8.89,,7,625
"Snacks, trail mix, regular, unsalted",A,100g,462,13.8,44.9,29.4,,,5.55,,0,10
"Snacks, rice cakes, brown rice, rye",A,100g,386,8.1,79.9,3.8,4,,0.58,,0,110
"Snacks, granola bars, hard, almond",A,100g,495,7.7,62,25.5,4.8,,12.51,,0,256
"Popcorn, microwave, low fat and sodium",A,100g,429,12.6,73.39,9.5,14.2,0.54,1.415,,0,490
"Snacks, granola bars, oats, fruits and nut",A,100g,397,7.7,77.42,6.3,5.3,43.5,0.73,,0,251
"Snacks, trail mix, regular",A,100g,462,13.8,44.9,29.4,,,5.55,,0,229
"Snacks, tortilla chips, plain, yellow corn",A,100g,492,7.18,67.31,21.57,4.7,0.97,2.462,0.069,0,281
"Popcorn, sugar syrup/caramel, fat-free",A,100g,381,2,90.06,1.4,2.5,64.68,0.2,0,0,286
"Snacks, sesame sticks, wheat-based, unsalted",A,100g,541,10.9,46.5,36.7,,,6.48,,0,29
"Snacks, potato sticks",A,100g,522,6.7,53.3,34.4,3.4,0.22,8.88,,0,250
"Snacks, granola bars, hard, plain",A,100g,471,10.1,64.4,19.8,5.3,,2.37,,0,294
"Snacks, tortilla chips, light (baked with less oil)",A,100g,465,8.7,73.4,15.2,5.7,0.53,2.837,,3,1003
"Snacks, potato chips, barbecue-flavor",A,100g,491,7.7,52.8,32.4,4.4,,8.05,,0,750
"Snacks, granola bars, soft, uncoated, raisin",A,100g,448,7.6,66.4,17.8,4.2,,9.57,,1,282
"Snacks, tortilla chips, ranch-flavor",A,100g,501,7.19,62.74,24.63,4,3.03,3.539,0.345,,519
"Snacks, plantain chips, salted",A,100g,531,2.28,63.84,29.59,3.5,0.92,8.337,0.185,0,202
"Snacks, granola bar, fruit-filled, nonfat",A,100g,342,5.9,77.6,0.9,7.4,55.34,0.2,,0,16
"Snacks, rice cakes, brown rice, multigrain",A,100g,387,8.5,80.1,3.5,3,,0.56,,0,252
"Snacks, crisped rice bar, chocolate chip",A,100g,404,5.1,73,13.5,2.2,,5.24,,0,278
"Snacks, corn-based, extruded, chips, unsalted",A,100g,557,6.6,57.4,33.4,4.4,1.41,4.344,,0,15
"Snacks, pork skins, plain",A,100g,544,61.3,0,31.3,0,0,11.37,,95,1838
"Snacks, rice cakes, brown rice, sesame seed, unsalted",A,100g,392,7.6,81.5,3.8,,,0.54,,0,4
"Snacks, granola bars, soft, uncoated, peanut butter",A,100g,426,10.5,64.4,15.8,4.3,,3.65,,1,409
"Pretzels, soft",A,100g,338,8.2,69.39,3.1,1.7,0.25,0.695,,3,1404
"Snacks, tortilla chips, nacho cheese",A,100g,514,8.15,61.74,26.07,4.6,3.79,3.936,0.216,,615
"Popcorn, microwave, regular (butter) flavor, made with palm oil",A,100g,528,8.69,55.69,30,9.9,0.54,6.305,,0,771
"Cheese puffs and twists, corn based, low fat",A,100g,432,8.5,72.35,12.1,10.7,7.29,2.1,,1,1285
"Snacks, corn-based, extruded, onion-flavor",A,100g,499,7.7,65.1,22.6,3.9,4.83,4.34,,0,981
"Snacks, tortilla chips, unsalted, white corn",A,100g,503,7.79,65.32,23.36,5.3,1,2.458,,0,15
"Snacks, popcorn, cheese-flavor",A,100g,526,9.3,51.6,33.2,9.9,,6.41,,11,889
"Snacks, rice cakes, brown rice, multigrain, unsalted",A,100g,387,8.5,80.1,3.5,,,0.56,,0,4
"Snacks, rice cakes, brown rice, corn",A,100g,385,8.4,81.2,3.2,2.9,,0.63,,0,291
"Snacks, granola bar, with coconut, chocolate coated",A,100g,531,5.2,55.2,32.2,6.2,34.27,22.72,,0,152
"Snacks, tortilla chips, plain, white corn",A,100g,489,7.79,65.56,23.36,5.3,1,2.81,0.071,0,421
"Pretzels, soft, unsalted",A,100g,338,8.2,71.04,3.1,1.7,0.25,0.695,,3,690
"Tortilla chips, low fat, baked without fat",A,100g,415,11,80,5.7,5.3,0.67,0.85,,0,419
"Snacks, corn-based, extruded, cones, nacho-flavor",A,100g,536,6.5,57.3,31.7,1,,26.79,,5,952
"Snacks, popcorn, caramel-coated, without peanuts",A,100g,431,3.8,79.1,12.8,5.2,53.19,3.61,0,5,206
"Snacks, rice cakes, brown rice, buckwheat, unsalted",A,100g,380,9,80.1,3.5,,,0.64,,0,4
"Snacks, potato chips, plain, salted",A,100g,542,6.56,50.81,36.4,4.4,0.37,4.014,0.048,0,525
"Granola bar, soft, milk chocolate coated, peanut butter",A,100g,536,9.6,54.1,31.2,3.8,23.63,17.065,,12,193
"Snacks, potato chips, plain, unsalted",A,100g,536,7,52.9,34.6,4.8,0.22,10.96,,0,8
"Snacks, rice cakes, brown rice, sesame seed",A,100g,392,7.6,81.5,3.8,5.4,,0.54,,0,227
"Snacks, popcorn, microwave, regular (butter) flavor, made with partially hydrogenated oil",A,100g,527,8.69,55.71,29.97,9.9,0.54,6.904,9.466,4,771
"Snacks, tortilla chips, nacho-flavor, reduced fat",A,100g,445,8.7,71.6,15.2,4.8,,2.91,,3,1003
"Snacks, corn-based, extruded, cones, plain",A,100g,510,5.8,62.9,26.9,1.1,,22.75,,0,1022
"Snacks, popcorn, caramel-coated, with peanuts",A,100g,400,6.4,80.7,7.8,3.8,45.36,1.04,0,0,295
"Snacks, rice cakes, brown rice, plain, unsalted",A,100g,387,8.2,81.5,2.8,4.2,0.88,0.57,,0,26
"Snacks, beef sticks, smoked",A,100g,550,21.5,5.4,49.6,,,20.8,,133,1480
"Snacks, yucca (cassava) chips, salted",A,100g,515,1.34,69.23,25.91,3.7,3.36,8.689,0.15,,296
"Snacks, popcorn, oil-popped, white popcorn",A,100g,500,9,57.2,28.1,10,,4.89,,0,884
"Snacks, rice cakes, brown rice, buckwheat",A,100g,380,9,80.1,3.5,3.8,,0.64,,0,116
"Snacks, sweet potato chips",A,100g,496,3.5,64.83,24.7,3.5,7,2.207,,0,35
"Snacks, potato chips, reduced fat",A,100g,471,7.1,66.9,20.8,5.9,0.22,4.16,,0,492
"Chicken, floss, with salt, soy sauce and sugar, dried",B,100g,440,7.2,65.8,16.4,,,,,81,1687.8
"Mutton, dried",B,100g,588,28.2,13.7,46.7,,,,,166,184
"Beef floss, with salt, soy sauce and sugar, dried",B,100g,445,8.2,67.7,15.7,,,,,169,1945.7
"Hawthorn sheet, processed with sugar and starch",B,100g,326,1,80,0.8,2.6,,,,,115.5
"Beef, curried, fried",B,100g,326,45.9,29.5,2.7,ND,,,,116,2075
"Hawthorn jelly strip, sweet",B,100g,303,0.6,74.6,0.6,1.6,,,,,192.1
"Beef, dried",B,100g,550,45.6,1.9,40,,,,,120,412.4
"Hawthorn jelly, processed snack",B,100g,178,0.2,44,0.3,0.6,,,,,34.3
"Pork floss, “Fujian” style, with salt, soy sauce and sugar",B,100g,493,25.1,39.7,26,,,,,111,1419.9
"Broad bean, deep fried, spiced",B,100g,418,12.8,61.7,13.6,1.2,,,,,109.8
"Pork floss, with salt, soy sauce and sugar (Mean)",B,100g,396,23.4,49.7,11.5,,,,,111,469
"Potato slice, fried",B,100g,615,4,41.9,48.4,1.9,,,,,60.9
"“Hollow rice ball”, glutinous rice flour, deep fried",B,100g,452,6.8,72,15.2,0.2,,,,27,5.8
"“Pineapple wafer ball”, pineapple flavored cookie",B,100g,392,10.4,82.9,2.1,0.1,,,,,30
"“Longxiapian”, wheat flour with shrimp flavor, flake shape",B,100g,342,0.6,85.5,0.1,1.8,,,,,639.5
Deep-Fried Onion Rings (No seasoning),C,100g,350,3.8,32,23,2.8,4.1,4,0.22,6.9,420
Dehydrated vegetables and fruits chips,C,100g,460,4.4,55,25,9.5,34,5.5,0.095,0.59,130
Popcorn (popped),C,100g,500,4.5,58,28,7.4,30,20,0.027,0.35,27
French Fries,C,100g,270,3.9,31,14,3.5,0.28,1.9,0.16,1.4,280
"Corn chips, plain, toasted, salted",D,100g,477,7.5,56,25,5.2,0.6,5.81,0.1673,0,420
"Bar, snack, fruit filled, baked",D,100g,322,3.9,71.1,3,4.5,31.4,1.27,0.01008,12,199
"Bar, muesli, plain or with dried fruit, yoghurt-coated",D,100g,386,6.6,59.5,14,6.4,23.1,8.85,0.00668,12,74
"Bar, cherry & coconut centre, dark chocolate-coated",D,100g,416,4.4,52.6,22.4,4.7,48.6,16.31,0,2,46
"Potato, fries, fast food outlet, deep fried, monounsaturated oil, salted",D,100g,309,4.8,35.7,16.4,3.1,0.2,1.63,0.22265,0,193
"Potato, chips, regular, independent takeaway outlet, deep fried, blended oil, salted",D,100g,232,3.8,28.2,11.6,3,0,3.01,0.09855,8,180
"Potato straws, French fries, plain",D,100g,509,6.9,51.6,31,3.2,0.2,13.37,0.2367,0,576
"Potato crisps or chips, salt & vinegar flavoured",D,100g,492,6.8,43.6,32.6,3.6,1.4,7.84,0.06236,0,970
"Potato crisps or chips, plain, salted",D,100g,503,6,45.8,33.3,3.2,0.9,7.5,0.10835,0,592
"Popcorn, commercial, butter flavoured, salted",D,100g,471,9.1,49.6,26.5,8.8,0.6,16.54,3.20513,6,626
"Extruded snack, cheese flavoured",D,100g,478,8.8,53.5,25.8,3.2,2.5,11.3,0.1477,9,1000
Shrimp cracker,E,100g,539,8,53.3,32.6,3.8,2.1,,,0,495
"Soup, turkey vegetable, canned, prepared with equal volume water",A,100g,30,1.28,3.58,1.26,0.2,,0.37,,1,376
"Soup, tomato, canned, condensed",A,100g,60,1.61,13.41,0.56,1.2,8.11,0.155,,0,551
"Soup, beef and mushroom, low sodium, chunk style",A,100g,69,4.3,9.58,2.3,0.2,0.84,1.621,,6,25
"Soup, cream of celery, canned, condensed",A,100g,72,1.32,7.03,4.46,0.6,1.35,1.12,,11,685
"Soup, mushroom barley, canned, condensed",A,100g,61,1.5,9.6,1.8,,,0.35,,0,573
"Soup, shark fin, restaurant-prepared",A,100g,46,3.2,3.8,2,0,,0.501,,2,501
"Soup, beef mushroom, canned, prepared with equal volume water",A,100g,30,2.37,2.6,1.23,0.1,,0.61,,3,386
"Soup, chicken with dumplings, canned, prepared with equal volume water",A,100g,40,2.33,2.51,2.29,0.2,0.33,0.54,,14,357
"Soup, beef broth, bouillon, consomme, prepared with equal volume water",A,100g,12,2.22,0.73,0,0,,0,,0,264
"Soup, vegetarian vegetable, canned, condensed",A,100g,59,1.72,9.78,1.58,0.5,3.13,0.24,,0,672
"Soup, turkey noodle, canned, prepared with equal volume water",A,100g,28,1.6,3.54,0.82,0.3,,0.23,,2,334
"Soup, tomato bisque, canned, condensed",A,100g,96,1.76,18.47,1.95,0.8,,0.42,,4,685
"Soup, vegetable chicken, canned, prepared with water, low sodium",A,100g,69,5.1,8.76,2,0.4,1.42,0.597,,7,35
"Soup, beef noodle, canned, condensed",A,100g,67,3.85,7.16,2.46,0.6,2.06,0.91,,4,653
"Soup, minestrone, canned, condensed",A,100g,68,3.48,9.17,2.05,0.8,1.5,0.44,,1,744
"Soup, chicken noodle, dry, mix, prepared with water",A,100g,23,0.84,3.67,0.55,0.1,0.31,0.122,,4,229
"Soup, cheese, canned, prepared with equal volume water",A,100g,63,2.19,4.26,4.24,0.4,,2.7,,12,388
"Soup, clam chowder, new england, canned, prepared with equal volume water",A,100g,35,1.55,5.05,1.01,0.3,0.19,0.468,0.006,3,344
"Soup, chunky vegetable, canned, ready-to-serve",A,100g,51,1.46,7.92,1.54,0.5,1.83,0.23,,0,359
"Soup, tomato rice, canned, prepared with equal volume water",A,100g,47,0.82,8.54,1.06,0.7,2.95,0.2,,1,319
"Soup, chicken mushroom, canned, condensed",A,100g,109,3.5,7.6,7.3,0.2,1.31,1.92,,8,661
"Soup, chicken broth, low sodium, canned",A,100g,16,2,1.2,0.6,0,0.13,0.179,,0,30
"Soup, beef broth or bouillon canned, ready-to-serve",A,100g,7,1.14,0.04,0.22,0,0,0.11,,0,326
"Soup, minestrone, canned, chunky, ready-to-serve",A,100g,53,2.13,8.64,1.17,2.4,2.17,0.62,,2,360
"Soup, vegetable beef, dry, mix, prepared with water",A,100g,21,1.16,3.17,0.44,0.3,0.36,0.22,,0,312
"Soup, cream of celery, canned, prepared with equal volume water",A,100g,37,0.68,3.62,2.29,0.3,,0.58,,6,389
"Soup, clam chowder, manhattan, canned, prepared with equal volume water",A,100g,30,0.85,4.77,0.86,0.6,1.32,0.149,,1,226
"Soup, turkey vegetable, canned, condensed",A,100g,60,2.52,7.05,2.47,0.5,1.09,0.73,,1,739
"Potato soup, instant, dry mix",A,100g,343,9.2,76.14,3.1,7.6,10,0.613,,12,612
"Soup, bean with ham, canned, chunky, ready-to-serve",A,100g,95,5.19,11.16,3.5,4.6,,1.37,,9,400
"Soup, lentil with ham, canned, ready-to-serve",A,100g,56,3.74,8.16,1.12,,,0.45,,3,532
"Soup, chili beef, canned, condensed",A,100g,117,5.09,18.86,2.53,2.5,5.09,1.242,0.069,10,788
"Soup, tomato vegetable, dry, mix, prepared with water",A,100g,22,0.79,4.04,0.34,0.3,0.99,0.15,0,0,132
"Soup, beef noodle, canned, prepared with equal volume water",A,100g,34,1.93,3.58,1.23,0.3,1.03,0.455,,2,381
"Soup, chili beef, canned, prepared with equal volume water",A,100g,57,2.49,9.23,1.24,1.2,2.49,0.608,0.034,5,388
"Soup, turkey noodle, canned, condensed",A,100g,55,3.11,6.88,1.59,0.6,0.41,0.44,,4,650
"Soup, tomato beef with noodle, canned, prepared with equal volume water",A,100g,56,1.78,8.44,1.71,0.6,0.73,0.635,,2,367
"Soup, beef mushroom, canned, condensed",A,100g,61,4.6,5.2,2.4,0.2,,1.2,,5,709
"Soup, chicken vegetable, canned, condensed",A,100g,61,2.94,7.01,2.32,0.7,1.26,0.69,,7,733
"Soup, tomato beef with noodle, canned, condensed",A,100g,112,3.55,16.87,3.42,1.2,,1.27,,3,731
"Soup, tomato, dry, mix, prepared with water",A,100g,38,0.93,7.17,0.61,0.4,3.9,0.286,,2,356
"Soup, bean with frankfurters, canned, prepared with equal volume water",A,100g,75,3.99,8.8,2.79,,,0.85,,5,437
"Soup, turkey, chunky, canned, ready-to-serve",A,100g,57,4.33,5.96,1.87,,,0.52,,4,391
"Soup, cream of shrimp, canned, prepared with equal volume water",A,100g,36,1.11,3.27,2.07,0.1,0.24,1.29,,7,391
"Soup, chicken noodle, dry, mix",A,100g,377,15.42,62.32,6.51,3.2,1.9,1.947,,74,3643
"Soup, cream of mushroom, low sodium, ready-to-serve, canned",A,100g,53,1,4.53,3.7,0.2,1.72,1.005,,1,20
"Soup, bean with frankfurters, canned, condensed",A,100g,142,7.6,16.75,5.31,4.6,,1.61,,9,831
"Soup, gazpacho, canned, ready-to-serve",A,100g,19,2.9,1.8,0.1,0.2,0.59,0.01,,0,303
"Soup, chicken vegetable, chunky, canned, ready-to-serve",A,100g,69,5.13,7.87,2.01,,,0.6,,7,347
"Soup, cream of shrimp, canned, condensed",A,100g,72,2.22,6.53,4.14,0.2,,2.58,,13,685
"Soup, oxtail, dry, mix, prepared with water",A,100g,28,1.11,3.54,1.01,0.1,0.98,0.5,,0,475
"Soup, bean with pork, canned, prepared with equal volume water",A,100g,63,2.88,8.31,2.16,2.9,1.47,0.558,,1,349
"Soup, tomato rice, canned, condensed",A,100g,93,1.64,17.08,2.12,1.3,5.9,0.4,,1,635
"Soup, scotch broth, canned, prepared with equal volume water",A,100g,33,2.03,3.87,1.07,0.5,0.26,0.455,,2,415
"Soup, cream of vegetable, dry, powder",A,100g,446,8,52.1,24.1,3,17.51,6.03,,2,4957
"Soup, vegetable soup, condensed, low sodium, prepared with equal volume water",A,100g,33,1.1,6.06,0.45,1.1,2.15,0.074,,0,194
"Soup, bean with pork, canned, condensed",A,100g,129,5.88,16.97,4.42,5.9,3,1.14,,2,709
"Soup, escarole, canned, ready-to-serve",A,100g,11,0.62,0.72,0.73,,,0.22,,1,1558
"Soup, chicken with rice, canned, condensed",A,100g,49,2.89,5.84,1.56,0.5,0.16,0.37,,5,665
"Soup, scotch broth, canned, condensed",A,100g,66,4.05,7.73,2.14,1,,0.91,,4,716
"Soup, onion, dry, mix, prepared with water",A,100g,12,0.32,2.77,0.01,0.3,0.2,0.004,,0,346
"Soup, black bean, canned, prepared with equal volume water",A,100g,46,2.42,7.71,0.66,3.4,1.24,0.17,0,0,487
"Soup, cream of potato, canned, prepared with equal volume water",A,100g,30,0.72,4.7,0.97,0.2,,0.5,,2,410
"Soup, tomato vegetable, dry, mix",A,100g,325,11.73,59.9,5.09,3,3.77,2.32,,3,6722
"Soup, chicken noodle, low sodium, canned, prepared with equal volume water",A,100g,25,1.27,2.95,0.95,0.2,0.27,0.262,0.003,5,173
"Soup, black bean, canned, condensed",A,100g,91,4.83,15.42,1.32,6.8,2.49,0.34,0,0,970
"Soup, crab, canned, ready-to-serve",A,100g,31,2.25,4.22,0.62,0.3,,0.16,,4,506
"Soup, chicken rice, canned, chunky, ready-to-serve",A,100g,53,5.11,5.41,1.33,0.4,0.6,0.4,,5,370
"Soup, cream of potato, canned, condensed",A,100g,59,1.39,9.14,1.88,0.4,1.69,0.97,,5,637
"Soup, mushroom, dry, mix, prepared with water",A,100g,33,0.66,4.4,1.82,0.2,0.18,0.32,,0,403
"Soup, cream of asparagus, canned, prepared with equal volume water",A,100g,35,0.94,4.38,1.68,0.2,,0.43,,2,402
"Soup, pea, split with ham, canned, prepared with equal volume water",A,100g,75,4.08,11.05,1.74,0.9,,0.7,,3,398
"Soup, onion, dry, mix",A,100g,293,7.48,65.07,0.34,6.6,4.65,0.089,,0,8031
"Soup, pea, low sodium, prepared with equal volume water",A,100g,62,3.2,9.88,1.09,1.9,3.19,0.524,,0,10
"Soup, cream of asparagus, canned, condensed",A,100g,69,1.82,8.52,3.26,0.4,0.72,0.82,,4,661
"Soup, beef broth bouillon and consomme, canned, condensed",A,100g,13,2.52,0.84,0,0,0,0,,0,653
"Soup, pea, split with ham, canned, condensed",A,100g,141,7.68,20.81,3.28,1.7,,1.31,,6,630
"Soup, chicken rice, dry, mix, prepared with water",A,100g,24,0.97,3.66,0.57,0.3,0.29,0.13,,1,388
"Soup, vegetable, canned, low sodium, condensed",A,100g,65,2.2,12.11,0.9,2.1,4.31,0.147,,0,385
"Soup, tomato, canned, condensed, reduced sodium",A,100g,65,1.61,13.41,0.56,1.2,8.11,0.155,,0,22
"Soup, pea, green, canned, prepared with equal volume water",A,100g,61,3.2,9.88,1.09,1.9,3.19,0.524,,0,344
"Soup, chicken broth cubes, dry",A,100g,198,14.6,23.5,4.7,0,0,1.2,,13,24000
"Soup, tomato, low sodium, with water",A,100g,30,0.79,6.57,0.28,0.6,3.97,0.076,,0,24
"Soup, clam chowder, new england, canned, condensed",A,100g,72,3.17,10.32,2.06,0.7,0.38,0.959,0.013,6,699
"Soup, ramen noodle, dry, any flavor, reduced fat, reduced sodium",A,100g,350,10.89,70.95,2.5,2.7,0.85,0,0,0,1200
"Soup, chicken noodle, canned, condensed",A,100g,52,2.59,6.03,1.94,0.3,0.54,0.536,0.006,11,538
"Soup, chicken vegetable with potato and cheese, chunky, ready-to-serve",A,100g,65,1.16,5.2,4.46,0.3,0.64,1.636,,7,416
"Soup, cream of chicken, canned, condensed, reduced sodium",A,100g,58,1.8,9.5,1.3,0.4,0.39,0.5,,6,357
"Soup, oyster stew, canned, prepared with equal volume water",A,100g,24,0.87,1.69,1.59,,,1.04,,6,407
"Soup, chicken broth or bouillon, dry",A,100g,267,16.66,18.01,13.88,0,17.36,3.43,,13,18586
Fish broth,A,100g,16,2,0.4,0.6,0,0.09,0.133,,0,318
"Soup, clam chowder, manhattan, canned, condensed",A,100g,61,1.74,9.74,1.76,1.2,2.7,0.305,,2,457
"Soup, wonton, Chinese restaurant",A,100g,32,2.08,5.25,0.26,0.2,0.34,0.062,0.001,4,406
"Soup, chunky chicken noodle, canned, ready-to-serve",A,100g,37,3.27,4,0.9,0.4,0.75,0.408,0.001,5,343
"Soup, pea, split with ham, canned, chunky, ready-to-serve",A,100g,77,4.62,11.17,1.66,1.7,1.91,0.66,,3,402
"Soup, cream of chicken, dry, mix, prepared with water",A,100g,41,0.68,5.11,2.04,0.1,1.59,1.3,,1,454
"Soup, chunky beef with country vegetables, ready-to-serve",A,100g,62,4.08,8.57,1.22,,,0.612,,10,367
"Soup, chicken vegetable, canned, prepared with equal volume water",A,100g,31,1.5,3.56,1.18,0.4,0.54,0.35,,4,392
"Soup, cream of onion, canned, prepared with equal volume water",A,100g,44,1.13,5.2,2.16,0.4,,0.6,,6,380
"Soup, beef noodle, dry, mix",A,100g,324,17.93,48.64,6.39,2.7,5.1,2.07,,13,8408
"Soup, clam chowder, manhattan style, canned, chunky, ready-to-serve",A,100g,56,3.02,7.84,1.41,1.2,1.67,0.88,,6,417
"Soup, hot and sour, Chinese restaurant",A,100g,39,2.58,4.35,1.21,0.5,0.42,0.229,0,21,376
"Soup, chicken gumbo, canned, condensed",A,100g,45,2.1,6.67,1.14,1.6,1.93,0.26,,3,693
"Soup, pea, green, canned, condensed",A,100g,125,6.54,20.18,2.23,3.9,6.52,1.07,,0,680
"Soup, chicken broth cubes, dry, prepared with water",A,100g,5,0.39,0.62,0.12,,,0.03,,0,326
"Soup, Chicken Broth, canned, ready-to-serve",A,100g,7,1,0.4,0.1,0.4,0,0.029,,0,158
"Soup, broccoli cheese, canned, condensed, commercial",A,100g,87,2.1,7.7,5.3,1.8,2.12,1.6,,4,683
"Soup, chicken with rice, canned, prepared with equal volume water",A,100g,24,1.45,2.92,0.78,0.3,0.08,0.185,,3,334
"Soup, onion, canned, prepared with equal volume water",A,100g,23,1.5,3.27,0.7,0.3,1.33,0.103,,0,423
"Soup, beef broth, cubed, dry",A,100g,170,17.3,16.1,4,0,14.51,1.99,,4,24000
"Soup, egg drop, Chinese restaurant",A,100g,27,1.16,4.29,0.61,0.4,0.09,0.166,0.001,23,370
"Soup, cream of chicken, canned, condensed",A,100g,90,2.38,7.16,5.77,0,0.54,1.602,,8,655
"Soup, oyster stew, canned, condensed",A,100g,48,1.72,3.32,3.13,0,,2.04,,11,740
"Soup, chicken broth or bouillon, dry, prepared with water",A,100g,4,0.28,0.3,0.23,0,0.29,0.057,,0,313
"Split pea with ham soup, canned, reduced sodium, prepared with water or ready-to-serve",A,100g,68,4,11.4,0.7,1.9,1.57,0.294,,3,196
"Soup, ramen noodle, any flavor, dry",A,100g,436,10.48,63.42,15.63,2.3,1.57,7.553,,0,2036
"Soup, chicken noodle, canned, prepared with equal volume water",A,100g,25,1.27,2.95,0.95,0.2,0.27,0.262,0.003,5,265
"Soup, mushroom with beef stock, canned, prepared with equal volume water",A,100g,35,1.29,3.81,1.65,0.3,,0.64,,3,397
"Soup, beef broth or bouillon, powder, dry",A,100g,238,15.97,23.65,8.89,0,16.71,4.32,,10,16982
"Soup, ramen noodle, chicken flavor, dry",A,100g,437,10.66,63.57,15.55,2.4,1.35,7.095,,,2071
"Soup, chicken, canned, chunky, ready-to-serve",A,100g,71,5.06,6.88,2.64,0.6,0.87,0.79,,12,354
"Soup, cream of onion, canned, condensed",A,100g,88,2.2,10.4,4.2,0.4,3.64,1.17,,12,637
"Soup, beef broth, cubed, prepared with water",A,100g,3,0.21,0.25,0.08,0,0.2,0.04,,0,260
"Split pea soup, canned, reduced sodium, prepared with water or ready-to serve",A,100g,71,3.85,11.83,0.92,1.9,5.06,0.3,,2,166
"Soup, chicken gumbo, canned, prepared with equal volume water",A,100g,23,1.08,3.43,0.59,0.8,1.02,0.13,,2,391
"Soup, cream of mushroom, canned, prepared with equal volume water",A,100g,42,0.79,3.29,2.88,0,0.72,0.676,,0,318
"Soup, vegetable with beef broth, canned, condensed",A,100g,66,2.42,10.7,1.56,1.3,1.64,0.36,,1,661
"Soup, vegetable with beef broth, canned, prepared with equal volume water",A,100g,33,1.21,5.35,0.78,0.7,0.82,0.18,,1,332
"Soup, ramen noodle, beef flavor, dry",A,100g,436,10.29,63.27,15.71,2.2,1.78,7.965,,,2002
"Soup, chicken broth, canned, condensed",A,100g,31,4.42,0.75,1.04,0,0.35,0.31,,1,626
"Soup, onion, canned, condensed",A,100g,46,3.06,6.68,1.42,0.7,2.72,0.21,,0,732
"Soup, beef broth or bouillon, powder, prepared with water",A,100g,3,0.21,0.25,0.08,0,0.2,0.04,,0,260
"Soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve",A,100g,74,4.19,13.66,1.03,4,3.17,0.252,,2,187
